Tipo;Endereco;CEP;UF;Bairro;Numeracao;Localidade;;
RUA;AFONSO PONCE;17601540;SP;VILA SANTA CLARA;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','AFONSO PONCE','17601540','SP','VILA SANTA CLARA','','TUPA'); "
RUA;ÁGAPE;17610720;SP;JARDIM GUARANI II;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ÁGAPE','17610720','SP','JARDIM GUARANI II','','TUPA'); "
RUA;AGENOR CARVALHO MOREIRA;17603780;SP;JARDIM CYBELLE;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','AGENOR CARVALHO MOREIRA','17603780','SP','JARDIM CYBELLE','','TUPA'); "
RUA;SANTO AGOSTINHO;17607157;SP;VILA ABARCA;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','SANTO AGOSTINHO','17607157','SP','VILA ABARCA','','TUPA'); "
RUA;AGOSTINHO MARQUES ASSUMPÇÃO;17607160;SP;VILA ABARCA;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','AGOSTINHO MARQUES ASSUMPÇÃO','17607160','SP','VILA ABARCA','','TUPA'); "
RUA;AGOSTINHO SOLER GIMENES;17603574;SP;JARDIM JAÇANÃ;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','AGOSTINHO SOLER GIMENES','17603574','SP','JARDIM JAÇANÃ','','TUPA'); "
RUA;AIMORÉS;17607020;SP;JARDIM RUBIÁCEA;- ATÉ 620/621;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','AIMORÉS','17607020','SP','JARDIM RUBIÁCEA','- ATÉ 620/621','TUPA'); "
RUA;AIMORÉS;17607164;SP;JARDIM RESIDENCIAL AOKI;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','AIMORÉS','17607164','SP','JARDIM RESIDENCIAL AOKI','','TUPA'); "
RUA;AIMORÉS;17601020;SP;CENTRO;- DE 622/623 A 1850/1851;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','AIMORÉS','17601020','SP','CENTRO','- DE 622/623 A 1850/1851','TUPA'); "
RUA;AIMORÉS;17600640;SP;VILA LAHOZ;- DE 1852/1853 AO FIM;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','AIMORÉS','17600640','SP','VILA LAHOZ','- DE 1852/1853 AO FIM','TUPA'); "
RUA;ALBERTO BERETA;17607322;SP;PARQUE UNIVERSITÁRIO;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ALBERTO BERETA','17607322','SP','PARQUE UNIVERSITÁRIO','','TUPA'); "
RUA;ALBERTO FLUMIGNAN;17602088;SP;CHÁCARA VELINI;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ALBERTO FLUMIGNAN','17602088','SP','CHÁCARA VELINI','','TUPA'); "
RUA;ALBINO FRIAS;17607210;SP;VILA FRIAS;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ALBINO FRIAS','17607210','SP','VILA FRIAS','','TUPA'); "
RUA;ALCIDES MUNIZ;17603794;SP;PARQUE RESIDENCIAL CASARI;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ALCIDES MUNIZ','17603794','SP','PARQUE RESIDENCIAL CASARI','','TUPA'); "
RUA;ALCIDES MUNIZ;17603470;SP;CONJUNTO HABITACIONAL CINQÜENTENÁRIO;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ALCIDES MUNIZ','17603470','SP','CONJUNTO HABITACIONAL CINQÜENTENÁRIO','','TUPA'); "
RUA;DOUTOR ALDACYR ROBERTO LOPES PEREIRA DA SILVA;17610430;SP;NOVA TUPÃ;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','DOUTOR ALDACYR ROBERTO LOPES PEREIRA DA SILVA','17610430','SP','NOVA TUPÃ','','TUPA'); "
RUA;PIONEIRO ALDO MICALLI;17602765;SP;CONJUNTO HABITACIONAL DOUTOR WALTER PIMENTEL;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','PIONEIRO ALDO MICALLI','17602765','SP','CONJUNTO HABITACIONAL DOUTOR WALTER PIMENTEL','','TUPA'); "
RUA;ALEIXO CORRÊA NETO;17603180;SP;VILA MARAJOARA;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ALEIXO CORRÊA NETO','17603180','SP','VILA MARAJOARA','','TUPA'); "
RUA;ALEXANDRE PEREIRA PINTO DE CARVALHO;17607320;SP;PARQUE UNIVERSITÁRIO;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ALEXANDRE PEREIRA PINTO DE CARVALHO','17607320','SP','PARQUE UNIVERSITÁRIO','','TUPA'); "
RUA;ALFREDO MODELLI;17603870;SP;CONJUNTO HABITACIONAL VEREADOR ANTÔNIO CARAN;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ALFREDO MODELLI','17603870','SP','CONJUNTO HABITACIONAL VEREADOR ANTÔNIO CARAN','','TUPA'); "
RUA;CAPITÃO ALMEIDA;17602201;SP;VILA SÃO JOSÉ;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','CAPITÃO ALMEIDA','17602201','SP','VILA SÃO JOSÉ','','TUPA'); "
RUA;PROFESSOR ALTINO MARTINEZ;17610035;SP;JARDIM CHÁCARA VELINI II;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','PROFESSOR ALTINO MARTINEZ','17610035','SP','JARDIM CHÁCARA VELINI II','','TUPA'); "
RUA;PROFESSOR ALTINO MARTINEZ;17602089;SP;CHÁCARA VELINI;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','PROFESSOR ALTINO MARTINEZ','17602089','SP','CHÁCARA VELINI','','TUPA'); "
RUA;ALTO ALEGRE;17602320;SP;PARQUE MARIA CRISTINA;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ALTO ALEGRE','17602320','SP','PARQUE MARIA CRISTINA','','TUPA'); "
RUA;IRMÃ AMÁLIA;17602180;SP;VILA SÃO JOSÉ;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','IRMÃ AMÁLIA','17602180','SP','VILA SÃO JOSÉ','','TUPA'); "
RUA;AMAZONAS;17604580;SP;VILA SANTA RITA DE CÁSSIA;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','AMAZONAS','17604580','SP','VILA SANTA RITA DE CÁSSIA','','TUPA'); "
PRAÇA;BENEMÉRITO AMÉLIO MUCCIO MAZZEI;17606033;SP;PARQUE DAS NAÇÕES;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('PRAÇA','BENEMÉRITO AMÉLIO MUCCIO MAZZEI','17606033','SP','PARQUE DAS NAÇÕES','','TUPA'); "
RUA;PIONEIRO AMÉRICO SCANDIUZZI;17602845;SP;CONJUNTO HABITACIONAL ANTÔNIO PEREIRA GASPAR;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','PIONEIRO AMÉRICO SCANDIUZZI','17602845','SP','CONJUNTO HABITACIONAL ANTÔNIO PEREIRA GASPAR','','TUPA'); "
RUA;ANA DIAS;17601370;SP;VILA LIBERDADE;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ANA DIAS','17601370','SP','VILA LIBERDADE','','TUPA'); "
PRAÇA;ANÁLIA LOPES DUALIBI;17604721;SP;JARDIM GUANABARA;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('PRAÇA','ANÁLIA LOPES DUALIBI','17604721','SP','JARDIM GUANABARA','','TUPA'); "
RUA;ANAMBÉ;17607592;SP;RESIDENCIAL RESERVA TUPÃ;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ANAMBÉ','17607592','SP','RESIDENCIAL RESERVA TUPÃ','','TUPA'); "
RUA;PADRE ANCHIETA;17602300;SP;PARQUE MARIA CRISTINA;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','PADRE ANCHIETA','17602300','SP','PARQUE MARIA CRISTINA','','TUPA'); "
RUA;ANDRÉ GARCIA SOARES;17607323;SP;PARQUE UNIVERSITÁRIO;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ANDRÉ GARCIA SOARES','17607323','SP','PARQUE UNIVERSITÁRIO','','TUPA'); "
PRAÇA;ANDRÉ KLAVIN;17625100;SP;CENTRO(VARPA);;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('PRAÇA','ANDRÉ KLAVIN','17625100','SP','CENTRO(VARPA)','','TUPA'); "
RUA;PIONEIRO ANDRÉ SEIDINGER;17610415;SP;NOVA TUPÃ;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','PIONEIRO ANDRÉ SEIDINGER','17610415','SP','NOVA TUPÃ','','TUPA'); "
AVENIDA;EMPRESÁRIA ANDRÉIA SEISCENTO VELLINI;17603820;SP;DISTRITO INDUSTRIAL EIZI HIRANO;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('AVENIDA','EMPRESÁRIA ANDRÉIA SEISCENTO VELLINI','17603820','SP','DISTRITO INDUSTRIAL EIZI HIRANO','','TUPA'); "
RUA;CARTORÁRIO ANGELO MOLINA;17603839;SP;CONJUNTO HABITACIONAL PIONEIRO JOSÉ FELICIANO;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','CARTORÁRIO ANGELO MOLINA','17603839','SP','CONJUNTO HABITACIONAL PIONEIRO JOSÉ FELICIANO','','TUPA'); "
RUA;ÂNGELO SERVILHA ROMEIRO;17602703;SP;JARDIM ARITANA;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ÂNGELO SERVILHA ROMEIRO','17602703','SP','JARDIM ARITANA','','TUPA'); "
AVENIDA;ANÍBAL DAVOLI;17603775;SP;PARQUE RESIDENCIAL CASARI;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('AVENIDA','ANÍBAL DAVOLI','17603775','SP','PARQUE RESIDENCIAL CASARI','','TUPA'); "
PRAÇA;ANÍSIO CARNEIRO;17605241;SP;JARDIM AMÉRICA;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('PRAÇA','ANÍSIO CARNEIRO','17605241','SP','JARDIM AMÉRICA','','TUPA'); "
RUA;ANITA COSTA;17605190;SP;VILA VARGAS;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ANITA COSTA','17605190','SP','VILA VARGAS','','TUPA'); "
RUA;PIONEIRO ANTONINO DE BARROS;17604330;SP;VILA EUROPA;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','PIONEIRO ANTONINO DE BARROS','17604330','SP','VILA EUROPA','','TUPA'); "
RUA;ANTÔNIO ACRÍSIO ALVES;17603190;SP;VILA MARAJOARA;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ANTÔNIO ACRÍSIO ALVES','17603190','SP','VILA MARAJOARA','','TUPA'); "
RUA;ANTÔNIO ANDRIANI;17601250;SP;VILA ABARCA;- ATÉ 230/231;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ANTÔNIO ANDRIANI','17601250','SP','VILA ABARCA','- ATÉ 230/231','TUPA'); "
RUA;ANTÔNIO ANDRIANI;17607060;SP;VILA ESPANHA;- DE 232/233 AO FIM;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ANTÔNIO ANDRIANI','17607060','SP','VILA ESPANHA','- DE 232/233 AO FIM','TUPA'); "
RUA;ANTÔNIO BUFULLIN;17604290;SP;VILA DAS INDÚSTRIAS;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ANTÔNIO BUFULLIN','17604290','SP','VILA DAS INDÚSTRIAS','','TUPA'); "
RUA;ANTÔNIO CABRERA;17605231;SP;JARDIM GUARUJÁ;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ANTÔNIO CABRERA','17605231','SP','JARDIM GUARUJÁ','','TUPA'); "
RUA;PROFESSOR ANTÔNIO CARRILHO GARRIDO;17600445;SP;CENTRO;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','PROFESSOR ANTÔNIO CARRILHO GARRIDO','17600445','SP','CENTRO','','TUPA'); "
RUA;ANTÔNIO CASTILHO;17601381;SP;VILA SANTA TEREZINHA;- ATÉ 210/211;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ANTÔNIO CASTILHO','17601381','SP','VILA SANTA TEREZINHA','- ATÉ 210/211','TUPA'); "
RUA;ANTÔNIO CASTILHO;17607010;SP;VILA FAUT;- DE 212/213 AO FIM;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ANTÔNIO CASTILHO','17607010','SP','VILA FAUT','- DE 212/213 AO FIM','TUPA'); "
RUA;PIONEIRO ANTONIO CASTRO LOPES;17607552;SP;JARDIM MORUMBI;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','PIONEIRO ANTONIO CASTRO LOPES','17607552','SP','JARDIM MORUMBI','','TUPA'); "
RUA;ANTÔNIO DIGIGOW;17606035;SP;PARQUE DAS NAÇÕES;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ANTÔNIO DIGIGOW','17606035','SP','PARQUE DAS NAÇÕES','','TUPA'); "
RUA;BENEMÉRITO ANTÔNIO FREDERICO OZANAN;17610407;SP;NOVA TUPÃ;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','BENEMÉRITO ANTÔNIO FREDERICO OZANAN','17610407','SP','NOVA TUPÃ','','TUPA'); "
RUA;PIONEIRO ANTÔNIO GIGLIO;17602763;SP;CONJUNTO HABITACIONAL DOUTOR WALTER PIMENTEL;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','PIONEIRO ANTÔNIO GIGLIO','17602763','SP','CONJUNTO HABITACIONAL DOUTOR WALTER PIMENTEL','','TUPA'); "
RUA;ANTÔNIO GUILHEN;17603410;SP;VILA FORMOSA;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ANTÔNIO GUILHEN','17603410','SP','VILA FORMOSA','','TUPA'); "
RUA;ANTÔNIO JOSÉ LEMOS;17605360;SP;VILA INDEPENDÊNCIA;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ANTÔNIO JOSÉ LEMOS','17605360','SP','VILA INDEPENDÊNCIA','','TUPA'); "
RUA;ANTÔNIO LAHOZ;17600720;SP;VILA LAHOZ;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ANTÔNIO LAHOZ','17600720','SP','VILA LAHOZ','','TUPA'); "
RUA;ANTÔNIO LIMIERI;17604440;SP;PARQUE TABAJARAS;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ANTÔNIO LIMIERI','17604440','SP','PARQUE TABAJARAS','','TUPA'); "
ESTRADA VICINAL;PIONEIRO ANTONIO LOVATO;17603865;SP;DELTA VILLE TÊNIS CLUB;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('ESTRADA VICINAL','PIONEIRO ANTONIO LOVATO','17603865','SP','DELTA VILLE TÊNIS CLUB','','TUPA'); "
